candidate,source_dir,status,production_ns,platform,gpu_id,n_atoms,trajectory,final_pdb,log
rank018_GWHPBECS034039,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,55644,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank018_GWHPBECS034039/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank018_GWHPBECS034039/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank018_GWHPBECS034039/outputs/prod.log
rank019_GWHPBECS041202,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,62238,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank019_GWHPBECS041202/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank019_GWHPBECS041202/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank019_GWHPBECS041202/outputs/prod.log
rank020_GWHPBECS023843,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,62615,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank020_GWHPBECS023843/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank020_GWHPBECS023843/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank020_GWHPBECS023843/outputs/prod.log
rank021_GWHPBECS039810,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,65935,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank021_GWHPBECS039810/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank021_GWHPBECS039810/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank021_GWHPBECS039810/outputs/prod.log
rank022_GWHPBECS041249,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,63356,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank022_GWHPBECS041249/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank022_GWHPBECS041249/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank022_GWHPBECS041249/outputs/prod.log
rank023_GWHPBECS023832,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,65059,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank023_GWHPBECS023832/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank023_GWHPBECS023832/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank023_GWHPBECS023832/outputs/prod.log
rank024_GWHPBECS013086,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,74239,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank024_GWHPBECS013086/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank024_GWHPBECS013086/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank024_GWHPBECS013086/outputs/prod.log
rank025_GWHPBECS039805,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,61869,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank025_GWHPBECS039805/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank025_GWHPBECS039805/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank025_GWHPBECS039805/outputs/prod.log
rank026_GWHPBECS005381,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67541,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank026_GWHPBECS005381/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank026_GWHPBECS005381/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank026_GWHPBECS005381/outputs/prod.log
rank027_GWHPBECS005593,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,167971,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank027_GWHPBECS005593/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank027_GWHPBECS005593/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank027_GWHPBECS005593/outputs/prod.log
rank028_GWHPBECS041157,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,64170,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank028_GWHPBECS041157/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank028_GWHPBECS041157/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank028_GWHPBECS041157/outputs/prod.log
rank029_GWHPBECS026431,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,64757,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank029_GWHPBECS026431/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank029_GWHPBECS026431/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank029_GWHPBECS026431/outputs/prod.log
rank030_GWHPBECS023845,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,61914,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank030_GWHPBECS023845/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank030_GWHPBECS023845/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank030_GWHPBECS023845/outputs/prod.log
rank031_GWHPBECS019368,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,56396,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank031_GWHPBECS019368/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank031_GWHPBECS019368/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank031_GWHPBECS019368/outputs/prod.log
rank032_GWHPBECS041248,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,73600,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank032_GWHPBECS041248/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank032_GWHPBECS041248/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank032_GWHPBECS041248/outputs/prod.log
rank033_GWHPBECS023844,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67429,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank033_GWHPBECS023844/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank033_GWHPBECS023844/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank033_GWHPBECS023844/outputs/prod.log
rank034_GWHPBECS019467,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,68648,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank034_GWHPBECS019467/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank034_GWHPBECS019467/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank034_GWHPBECS019467/outputs/prod.log
rank035_GWHPBECS039808,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,57708,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank035_GWHPBECS039808/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank035_GWHPBECS039808/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank035_GWHPBECS039808/outputs/prod.log
rank036_GWHPBECS011414,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,70984,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank036_GWHPBECS011414/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank036_GWHPBECS011414/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank036_GWHPBECS011414/outputs/prod.log
rank037_GWHPBECS041210,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,70331,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank037_GWHPBECS041210/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank037_GWHPBECS041210/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank037_GWHPBECS041210/outputs/prod.log
rank038_GWHPBECS039781,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,63303,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank038_GWHPBECS039781/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank038_GWHPBECS039781/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank038_GWHPBECS039781/outputs/prod.log
rank039_GWHPBECS041253,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,69590,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank039_GWHPBECS041253/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank039_GWHPBECS041253/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank039_GWHPBECS041253/outputs/prod.log
rank040_GWHPBECS026448,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,76634,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank040_GWHPBECS026448/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank040_GWHPBECS026448/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank040_GWHPBECS026448/outputs/prod.log
rank041_GWHPBECS041245,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,56782,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank041_GWHPBECS041245/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank041_GWHPBECS041245/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank041_GWHPBECS041245/outputs/prod.log
rank042_GWHPBECS041247,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,58523,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank042_GWHPBECS041247/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank042_GWHPBECS041247/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank042_GWHPBECS041247/outputs/prod.log
rank043_GWHPBECS041246,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,56399,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank043_GWHPBECS041246/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank043_GWHPBECS041246/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank043_GWHPBECS041246/outputs/prod.log
rank044_GWHPBECS014754,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,64414,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank044_GWHPBECS014754/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank044_GWHPBECS014754/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank044_GWHPBECS014754/outputs/prod.log
rank045_GWHPBECS026466,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67726,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank045_GWHPBECS026466/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank045_GWHPBECS026466/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank045_GWHPBECS026466/outputs/prod.log
rank046_GWHPBECS019985,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,63112,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank046_GWHPBECS019985/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank046_GWHPBECS019985/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank046_GWHPBECS019985/outputs/prod.log
rank047_GWHPBECS039807,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,57067,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank047_GWHPBECS039807/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank047_GWHPBECS039807/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank047_GWHPBECS039807/outputs/prod.log
rank048_GWHPBECS019398,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,57098,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank048_GWHPBECS019398/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank048_GWHPBECS019398/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank048_GWHPBECS019398/outputs/prod.log
rank049_GWHPBECS039312,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67501,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank049_GWHPBECS039312/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank049_GWHPBECS039312/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank049_GWHPBECS039312/outputs/prod.log
rank050_GWHPBECS026452,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,78060,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank050_GWHPBECS026452/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank050_GWHPBECS026452/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank050_GWHPBECS026452/outputs/prod.log
rank051_GWHPBECS039310,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,64517,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank051_GWHPBECS039310/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank051_GWHPBECS039310/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank051_GWHPBECS039310/outputs/prod.log
rank052_GWHPBECS023839,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,61083,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank052_GWHPBECS023839/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank052_GWHPBECS023839/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank052_GWHPBECS023839/outputs/prod.log
rank053_GWHPBECS039792,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,59335,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank053_GWHPBECS039792/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank053_GWHPBECS039792/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank053_GWHPBECS039792/outputs/prod.log
rank054_GWHPBECS019468,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,62222,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank054_GWHPBECS019468/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank054_GWHPBECS019468/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank054_GWHPBECS019468/outputs/prod.log
rank055_GWHPBECS039787,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67857,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank055_GWHPBECS039787/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank055_GWHPBECS039787/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank055_GWHPBECS039787/outputs/prod.log
rank056_GWHPBECS041167,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,69933,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank056_GWHPBECS041167/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank056_GWHPBECS041167/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank056_GWHPBECS041167/outputs/prod.log
rank057_GWHPBECS026435,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,62200,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank057_GWHPBECS026435/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank057_GWHPBECS026435/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank057_GWHPBECS026435/outputs/prod.log
rank058_GWHPBECS042661,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,80208,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank058_GWHPBECS042661/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank058_GWHPBECS042661/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank058_GWHPBECS042661/outputs/prod.log
rank059_GWHPBECS039789,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,64764,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank059_GWHPBECS039789/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank059_GWHPBECS039789/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank059_GWHPBECS039789/outputs/prod.log
rank060_GWHPBECS041209,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,65977,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank060_GWHPBECS041209/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank060_GWHPBECS041209/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank060_GWHPBECS041209/outputs/prod.log
rank061_GWHPBECS039311,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,67761,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank061_GWHPBECS039311/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank061_GWHPBECS039311/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank061_GWHPBECS039311/outputs/prod.log
rank062_GWHPBECS023914,neg_fix_v1_top200,done,2.0,OpenMM-CUDA,0,63370,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank062_GWHPBECS023914/outputs/prod.dcd,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank062_GWHPBECS023914/outputs/final.pdb,/home/jnz/AIGT_esmc/Gromacs/neg_fix_v1_top200/rank062_GWHPBECS023914/outputs/prod.log
