Entry	Entry Name	Protein names	Gene Names	Organism	Length	Keywords
A0A250YGJ5	SIR6_CASCN	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Castor canadensis (American beaver)	355	Acetylation;Acyltransferase;Chromatin regulator;Chromosome;Developmental protein;DNA damage;DNA repair;DNA-binding;Endoplasmic reticulum;Glycosyltransferase;Hydrolase;Isopeptide bond;Metal-binding;NAD;Nucleotidyltransferase;Nucleus;Phosphoprotein;Reference proteome;RNA-binding;Telomere;Transferase;Tumor suppressor;Ubl conjugation;Zinc
A0A2C9JXL4	C1GLT_BIOGL	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Glycoprotein-N-acetylgalactosamine beta-1,3-galactosyltransferase) (Beta-1,3-galactosyltransferase) (T-synthase)		Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	388	Disulfide bond;Glycoprotein;Glycosyltransferase;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A0A2K5TU92	SIR6_MACFA	NAD-dependent protein deacylase sirtuin-6 (EC 2.3.1.-) (NAD-dependent protein deacetylase sirtuin-6) (EC 2.3.1.286) (Protein mono-ADP-ribosyltransferase sirtuin-6) (EC 2.4.2.-)	SIRT6	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	355	Acetylation;Acyltransferase;Chromatin regulator;Chromosome;Developmental protein;DNA damage;DNA repair;DNA-binding;Endoplasmic reticulum;Glycosyltransferase;Isopeptide bond;Metal-binding;NAD;Nucleotidyltransferase;Nucleus;Phosphoprotein;Reference proteome;RNA-binding;Telomere;Transferase;Tumor suppressor;Ubl conjugation;Zinc
A0A384J6C4	CRH1_BOTFB	Crh-like protein 1 [Includes: Chitinase crh1 (EC 3.2.1.14); Chitin transglycosylase crh1 (EC 2.4.-.-)]	crh1 BCIN_01g06010	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	391	Cell wall biogenesis/degradation;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Glycosidase;Glycosyltransferase;GPI-anchor;Host cytoplasm;Hydrolase;Lipoprotein;Membrane;Reference proteome;Secreted;Signal;Transferase;Vacuole
A0A384K116	CRH3_BOTFB	Crh-like protein 3 [Includes: Chitinase crh3 (EC 3.2.1.14); Chitin transglycosylase crh3 (EC 2.4.-.-)]	crh3 BCIN_13g03640	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	444	Cell membrane;Cell wall biogenesis/degradation;Disulfide bond;Glycoprotein;Glycosidase;Glycosyltransferase;GPI-anchor;Hydrolase;Lipoprotein;Membrane;Reference proteome;Signal;Transferase
A0A482PDI9	NLEB_CITRO	Protein-arginine N-acetylglucosaminyltransferase NleB (Arginine GlcNAcyltransferase NleB) (NleBc) (EC 2.4.1.-) (Non-LEE-encoded type III effector B)	nleB E2R62_01920	Citrobacter rodentium	329	Glycoprotein;Glycosyltransferase;Manganese;Metal-binding;Secreted;Toxin;Transferase;Virulence
A0A4Z3	A3LT2_RAT	Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)	A3galt2	Rattus norvegicus (Rat)	339	Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A0QWG6	PIMA_MYCS2	Phosphatidyl-myo-inositol mannosyltransferase (EC 2.4.1.345) (Alpha-mannosyltransferase) (GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase)	pimA MSMEG_2935 MSMEI_2861	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	386	3D-structure;Cell membrane;Glycosyltransferase;Lipid biosynthesis;Lipid metabolism;Magnesium;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Virulence
A0R0H1	PBPA3_MYCS2	Penicillin-binding protein A3 (PBP-A3) (Penicillin-binding protein PonA3) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA3 MSMEG_4384 MSMEI_4281	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	822	Carboxypeptidase;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A0R2E6	GPGS_MYCS2	Glucosyl-3-phosphoglycerate synthase (GpgS) (EC 2.4.1.266)	gpgS MSMEG_5084 MSMEI_4958	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	303	Glycosyltransferase;Magnesium;Manganese;Metal-binding;Reference proteome;Transferase
A0R4M9	OTSA_MYCS2	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (EC 2.4.1.347) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA)	otsA MSMEG_5892 MSMEI_5731	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	503	Glycosyltransferase;Reference proteome;Transferase
A0R5I3	PBPA2_MYCS2	Penicillin-binding protein A2 (PBP-A2) (Bifunctional cell wall synthase PonA2) (Penicillin-binding protein PonA2) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA2 pon1 MSMEG_6201 MSMEI_6040	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	817	Carboxypeptidase;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A1C3L9	GTFA_STRPA	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase Gtf1) (Glycosyltransferase GtfA)	gtfA gtf1	Streptococcus parasanguinis	504	Cell membrane;Cytoplasm;Direct protein sequencing;Glycosyltransferase;Membrane;Nucleotide-binding;Transferase
A1ZAG4	PAR16_DROME	Protein mono-ADP-ribosyltransferase Parp16 (PARP-16) (EC 2.4.2.-)	Parp16 CG15925	Drosophila melanogaster (Fruit fly)	359	Endoplasmic reticulum;Glycosyltransferase;Membrane;NAD;Nucleotidyltransferase;Reference proteome;Stress response;Transferase;Transmembrane;Transmembrane helix
A2QC55	CSMB_ASPNC	Chitin synthase csmB (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase csmB) (Class-V chitin synthase csmB)	csmB An02g02340	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1760	Actin-binding;Cell membrane;Glycoprotein;Glycosyltransferase;Membrane;Motor protein;Myosin;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A2QC57	CSMA_ASPNC	Chitin synthase csmA (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase csmA) (Class-V chitin synthase csmA)	csmA An02g02360	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1614	Actin-binding;ATP-binding;Cell membrane;Glycoprotein;Glycosyltransferase;Membrane;Motor protein;Myosin;Nucleotide-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A2QTS4	AGLTA_ASPNC	4-alpha-glucanotransferase agtA (EC 2.4.1.25)	agtA An09g03100	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	555	Calcium;Carbohydrate metabolism;Cell membrane;Cell wall biogenesis/degradation;Disulfide bond;Glycoprotein;Glycosyltransferase;GPI-anchor;Lipoprotein;Membrane;Metal-binding;Reference proteome;Signal;Transferase
A2QYT9	AGLTB_ASPNC	4-alpha-glucanotransferase agtB (EC 2.4.1.25)	agtB An12g02460	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	549	Calcium;Carbohydrate metabolism;Cell membrane;Cell wall biogenesis/degradation;Disulfide bond;Glycoprotein;Glycosyltransferase;GPI-anchor;Lipoprotein;Membrane;Metal-binding;Reference proteome;Signal;Transferase
A2WV32	CESA4_ORYSI	Cellulose synthase A catalytic subunit 4 [UDP-forming] (EC 2.4.1.12) (OsCesA4)	CESA4 OsI_03742	Oryza sativa subsp. indica (Rice)	989	Cell membrane;Cell wall biogenesis/degradation;Cellulose biosynthesis;Coiled coil;Glycoprotein;Glycosyltransferase;Manganese;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Zinc;Zinc-finger
A2Z1C8	CESA9_ORYSI	Cellulose synthase A catalytic subunit 9 [UDP-forming] (EC 2.4.1.12) (OsCesA9)	CESA9 OsI_030371	Oryza sativa subsp. indica (Rice)	1055	Cell membrane;Cell wall biogenesis/degradation;Cellulose biosynthesis;Coiled coil;Glycoprotein;Glycosyltransferase;Manganese;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Zinc;Zinc-finger
A4IID1	MGT4A_XENTR	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]	mgat4a	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	536	Coiled coil;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Metal-binding;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A4Q998	PNPH_ANOGA	Purine nucleoside phosphorylase (EC 2.4.2.1) (AgPNP) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	pnp AgaP_AGAP005945	Anopheles gambiae (African malaria mosquito)	353	3D-structure;Alternative splicing;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
A5D7I4	EXT1_BOVIN	Exostosin-1 (EC 2.4.1.225) (N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase)	EXT1	Bos taurus (Bovine)	746	Disulfide bond;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A5K9M4	PNPH_PLAVS	Purine nucleoside phosphorylase (EC 2.4.2.1) (PvPNP)	PNP PVX_080575	Plasmodium vivax (strain Salvador I)	245	3D-structure;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
A6BM07	I7GT1_SOYBN	Isoflavone 7-O-glucosyltransferase 1 (EC 2.4.1.170) (UDP-glucose:isoflavone 7-O-glucosyltransferase)	GmIF7GT1 GmIF7GT UGT88E3 Glyma16g29400 Gma.32181	Glycine max (Soybean) (Glycine hispida)	474	Direct protein sequencing;Glycosyltransferase;Reference proteome;Transferase
A6M9B7	GLCT_ECOLX	O-antigen biosynthesis glycosyltransferase WclY (EC 2.4.1.-) (Alpha-1,4-glucosyltransferase) (Glucosyltransferase) (Glc-T) (Glycosyltransferase)	wclY wbeC D4U49_09000 D9J61_15030 NCTC8500_02134 NCTC9117_02549	Escherichia coli	353	Glycosyltransferase;Lipopolysaccharide biosynthesis;Membrane;Transferase;Transmembrane;Transmembrane helix
A6XNC6	UGFGT_MEDTR	Flavonoid 3-O-glucosyltransferase (EC 2.4.1.-) (UDP glucose:flavonoid 3-O-glucosyltransferase) (UDP-glycosyltransferase 78G1)	UGT78G1 GT83F	Medicago truncatula (Barrel medic) (Medicago tribuloides)	454	3D-structure;Glycosyltransferase;Phenylpropanoid metabolism;Transferase
A7XDQ9	B3GTK_ARATH	Hydroxyproline O-galactosyltransferase GALT2 (AtGALT2) (EC 2.4.1.-) (Beta-1,3-galactosyltransferase 20)	GALT2 B3GALT20 At4g21060 T13K14.220	Arabidopsis thaliana (Mouse-ear cress)	684	Alternative splicing;Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
A8MR93	ALG12_ARATH	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Alpha-1,6-mannosyltransferase ALG12) (Asparagine-linked glycosylation protein 12) (EMS-mutagenized BRI1 suppressor 4)	ALG12 EBS4 At1g02145 T6A9	Arabidopsis thaliana (Mouse-ear cress)	497	Alternative splicing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
A9BHI9	GPGS_PETMO	Glucosyl-3-phosphoglycerate synthase (GpgS) (EC 2.4.1.266)	gpgS Pmob_1142	Petrotoga mobilis (strain DSM 10674 / SJ95)	325	Cobalt;Glycosyltransferase;Magnesium;Manganese;Metal-binding;Nickel;Reference proteome;Transferase;Zinc
B2NID7	5GT_GENTR	Anthocyanidin 3-O-glucoside 5-O-glucosyltransferase (EC 2.4.1.298) (Anthocyanin 5-O-glucosyltransferase) (Gt5GT7)	5GT7	Gentiana triflora (Clustered gentian)	504	Glycosyltransferase;Transferase
B5A7L9	GTF3_STRPA	Glucosyltransferase 3 (EC 2.4.1.-)	gtf3 nss	Streptococcus parasanguinis	330	3D-structure;Glycosyltransferase;Nucleotide-binding;Transferase
B5L3X1	WFED_SHIBO	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase (EC 2.4.1.304)	wfeD	Shigella boydii	237	Glycosyltransferase;Lipopolysaccharide biosynthesis;Transferase
B7UI21	NLEB1_ECO27	Protein-arginine N-acetylglucosaminyltransferase NleB1 (Arginine GlcNAcyltransferase NleB1) (EC 2.4.1.-) (Non-LEE-encoded type III effector B1)	nleB1 nleB E2348C_3231	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	329	3D-structure;Glycoprotein;Glycosyltransferase;Host cytoplasm;Manganese;Metal-binding;Reference proteome;Secreted;Toxin;Transferase;Virulence
B9KDD4	PGLB_CAMLR	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.19) (Protein glycosylation B)	pglB Cla_1253	Campylobacter lari (strain RM2100 / D67 / ATCC BAA-1060)	712	3D-structure;Cell inner membrane;Cell membrane;Glycoprotein;Glycosyltransferase;Magnesium;Manganese;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix
C0QRQ2	GPGS_PERMH	Glucosyl-3-phosphoglycerate synthase (GpgS) (EC 2.4.1.266)	gpgS PERMA_1582	Persephonella marina (strain DSM 14350 / EX-H1)	403	Cobalt;Glycosyltransferase;Magnesium;Manganese;Metal-binding;Nickel;Reference proteome;Transferase
C7BKP9	PATOX_PHOAA	Toxin PAU_02230 (Photorhabdus asymbiotica toxin) (PaTox) [Includes: Protein N-acetylglucosaminyltransferase (Protein O-GlcNAc transferase) (EC 2.4.1.-) (PaToxG) (Tyrosine glycosyltransferase); Protein-glutamine amidohydrolase (EC 3.5.1.44) (Glutamine deamidase) (PaToxD) (Protein-glutamine glutaminase)]	PAU_02230	Photorhabdus asymbiotica subsp. asymbiotica (strain ATCC 43949 / 3105-77) (Xenorhabdus luminescens (strain 2))	2957	3D-structure;Calcium;Glycosyltransferase;Host cell membrane;Host membrane;Hydrolase;Membrane;Metal-binding;Multifunctional enzyme;Secreted;Toxin;Transferase;Virulence
D2WL32	GLGB3_ARATH	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic (AtSBE III) (EC 2.4.1.18) (Branching enzyme 1) (AtBE1) (Protein EMBRYO DEFECTIVE 2729) (Starch-branching enzyme 3)	SBE3 BE1 EMB2729 At3g20440 MQC12.20	Arabidopsis thaliana (Mouse-ear cress)	899	Alternative splicing;Amyloplast;Chloroplast;Glycosyltransferase;Plastid;Reference proteome;Transferase;Transit peptide
D4GUA0	AGLD_HALVD	Glycosyltransferase AglD (EC 2.4.1.-) (Archaeal glycosylation protein D)	aglD HVO_0798	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	624	Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
D4GYH4	AGLB_HALVD	Dolichyl-monophosphooligosaccharide--protein glycotransferase AglB (EC 2.4.99.21) (Archaeal glycosylation protein B) (Dolichyl-phosphooligosaccharide-protein glycotransferase) (Oligosaccharyl transferase) (OST) (OTase) (Oligosaccharyl transferase AglB)	aglB HVO_1530	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	1054	Cell membrane;Glycosyltransferase;Magnesium;Manganese;Membrane;Metal-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix
D6XZ22	GGP_BACIE	1,2-alpha-glucosylglycerol phosphorylase (EC 2.4.1.332) (2-O-alpha-glucosylglycerol phosphorylase) (GGP)	Bsel_2816	Bacillus selenitireducens (strain ATCC 700615 / DSM 15326 / MLS10)	761	3D-structure;Glycosyltransferase;Metal-binding;Reference proteome;Transferase
