protein_id,sequence_hash,sequence_length,cluster_id,pc1,pc2,pc3
A0A654EZH4,3d36801031dbe1005d0e98c4e924c2d97329e1f53da38a78d49fdaf50f43ce75,495,4,-0.09767134,-0.1585629,-0.14149551
A0A654F0W6,f46d83210c8084832f8474fed4799b2254475a12b6b602992015708bcb4480df,495,4,-0.09121744,-0.1498932,-0.14298126
A0A654F941,13decfaaa725746e83b3d16e8e8af3e962852f0317841d44602f0a7f26e43cb6,462,4,-0.017001776,-0.059942313,-0.17583485
A0A654FDF0,0feaa7016514baaba9a10dd189832cb88abb539cae1d92edb54c77d4a0b34184,458,4,0.04641293,-0.06882293,-0.20150466
A0A654FPN8,4173dc69571580387a7784443a711d0167ad1cfd02277f24bacc718478f5fd6c,475,4,0.16150685,-0.0061400514,-0.1854974
A0A6M3ZDL5,37ae2760b362af4b7e78f46416b69c83e1310cd17808ddd183be52e8d8965619,377,2,-0.24563265,-0.05699333,-0.18291295
A0A7G3KFN4,a8404336e132b7f8c8ec486b21ec287b995411be66104b6e026b39df6dabc2a4,405,4,0.122176826,-0.069162115,-0.18709624
A0A7H1NNL5,07daa029f8415d68656d7fc35d155d6e1539d6d746eb518949e39b93aab4a2e8,411,1,0.3158956,0.17192471,-0.21276031
A0A8K1ZRH3,e7880358b6b0c3a2eb104420ae21b38a57fcdcbcefdf631c4e1eb5466918f968,477,4,-0.02452099,-0.08702525,-0.19869335
A0A977TID4,dcc4128965fb392f2f53ebb03cafce5618339af5bfe890db68bdf01158142ee4,488,4,0.12271548,0.002651232,-0.17671625
A0AA96QCN7,6b2f320b20b56d8335fa7a657f374c4c75585ea6a02d8665778bc51a05f9da79,467,4,-0.12487015,0.118479036,-0.0144741265
A0AAP0SFD0,45fed9c514fa17979eee9eed5ccef82c9ecb56fc660623a9566dc7b52f6d5f8e,496,4,0.102435686,0.12316096,-0.14364927
A1YGR1,f4654a1c10e6242c404d519772875bf4b34d5e1d59132e18efe475ef96e8d238,473,4,-0.059855837,-0.054915693,-0.15474877
A4ZZ92,3dbaaa512da1d7910c1a58b5db3bfc6ba8106f63d618859d05e4e4a177932054,453,4,-0.0027992034,0.0058689397,-0.14937241
A5BH14,7abd35263e1a9e210a13bdb44218b981ce9bd620222333a9d0d97ccffca6cf37,442,4,-0.12691277,-0.073068716,-0.14915478
A6BM07,906189fbbd683bb3b518d55e0d1a4946704bc4d812ba55e57e5142ea01d9337f,474,4,0.046168547,0.025843969,-0.13593173
B2BH32,b7b243cb5bd1038bd346556d72131a8435f859727fdb098af98802232f663173,441,4,0.09701065,0.05304264,-0.13062221
B2NIC9,6b11904d2f49a89b3d31b4cbee7bbdfc4ef077dbacb0113deaa947ab01885b93,457,4,0.04975899,-0.0054247356,-0.1650974
B2NID1,6031a3c4fdd1ae1bc4512c01f3a9702a5f8345a105eb3bebf1619f8bdf5c56fb,457,4,0.058594894,0.0084870495,-0.14182305
B4DR67,58cd52d2b6695cfb29b61e21071fb429d4175aa6954b8429e353036c5de2219f,230,4,0.035422888,-0.025465803,-0.042627566
B4FRJ6,4296da30fafe3e45d76f11997ef525319cf87c4b6438c710d12df4db49f4a2c4,467,4,-0.020782279,0.22377339,0.0145775005
B4G072,c3fb6df166ea609090bd8fb125d9e59ca97b2bfe573f054a9d5dfaccf5827734,462,4,0.06626375,0.22137378,-0.028678749
B5MGN7,718f45347660cb9f826ea7ee86d83f5af8315af3a3da8321515f1ceec5e9b3f7,469,4,-0.103913985,-0.0054743285,-0.13034455
B5MGN9,3b6c2a85fb4f7f19a6226ce2f75afb2ed529e6a3e6e7b413d6a8334b57ab0710,485,0,-0.14028232,-0.1537073,-0.14054301
B6EWX3,8594632210bee8cc4a953e3173c45424883f324a009dbeaafb40b45dc8dfb135,477,4,-0.1307199,-0.11667458,-0.12568358
B7Z8Q8,69eec0c4a58e864030b041e50b7d0b6cd953eb6184ac1f0724211fee771e23ab,436,1,0.23343182,0.0144308675,-0.1150169
B8QI32,b6bc334c133df7ca77da64926a6eb5c2ea90109b099a3ad4508c579effc85e87,473,4,-0.10544982,0.0050393916,-0.12536138
B8RG40,b2d400d7b40211a7b2148f550c4270fd584fd217a0d97360712500ac26015c07,218,1,0.17460755,0.16680104,-0.1377602
B9A9D5,b97a4e030de029cda035028ad66cdc99b7faab03ae73c7a89b32be1f9cefe216,457,4,0.111949936,0.054397322,-0.13596104
C5WSW8,11c728b7b49e3b91910f3d4129134198e44dad486b6a4b3ada950bacbc2a4181,492,6,-0.06762624,0.27966356,0.054868985
D5L9I6,6e4ebb42bffdf50be8eedcef24b5f76d103101b37b350a4aa409451da7aeb70c,359,2,-0.2029068,0.031760577,-0.14984436
D5L9I8,5318def891e4670a9d3bca2369a1c0bd4e081c42a10a39d5adf621c0e8786a20,359,2,-0.23183393,0.023262253,-0.14389913
D5L9I9,e1351e7543e2c0a45de809b065b33f68b4a4dfbf63d3908818ea5118a96b601e,356,2,-0.16968359,0.04925635,-0.1451462
D5L9J0,859456d5d924ba46ddba216051370e2a9c69a59ee7136af40e8ad36ef0b54059,356,2,-0.15197894,0.053979725,-0.15007606
D6QSF5,f1f81768847bda5703e9fd7cc12c040041778e7a4ee2d9bdbfaa3337ace9c653,342,0,-0.1512302,-0.20718719,0.028695745
E9AND7,ebd3dddc212499ed21f92da861522bc72df1282f67d8fd26c960e813431a3627,328,1,0.2955671,0.038710106,-0.15939231
F2L613,bc9868bb30c2a0fd31375507e1db8af61e248a9dd8ed70825c19225bfeff80c2,401,2,-0.16385959,-0.016584804,-0.12597145
F8WLS6,e50112b647770593263b3f86699d706e5340cad8875d3969687eee1c67e94cea,487,0,-0.2288548,-0.25055206,-0.15462705
G4RMV2,a701ddf78485441ae4c143ecd5a39e3a64f01e8cb34baf68dcf5a54b39c11f06,401,2,-0.21670038,0.038749203,-0.083338164
I1MPF3,b63821fee03dd56c25802eedbd6a64b84f1e0d695719329cfe3f3058b99f8011,473,4,0.056404583,0.02453036,-0.1391685
I3X0G0,b08cc40b1546fc61db02eedaca6917c6267074c2a4e72d3ab57404c03e4b3a6b,509,1,0.18986453,0.29364294,-0.11333366
K7NBW3,149cd835f6a77fca4008caab853ebd8e4f48d81b88a72f74fa833b5665c8933c,454,4,0.010539835,-0.05676582,-0.16835909
O04930,b06525eb1128fc72bf2ddb64187ae5045b406f878addcd025b20b5c0200cf22d,474,4,0.05519268,-0.039113835,-0.16260917
O17511,78721878d5d255e7340810027b69fb81945a922a215d3535a716acfd8e41eb28,242,5,-0.31930253,-0.19792232,-0.24682134
O21943,4d584f0b2b1bfb1b14bf8d24edc25ef5c54fde48c43fe52ea7c06dd7fa502cb1,309,2,-0.3483481,-0.06995417,-0.25289875
O22183,98ce9476d7c6a4758d38d7affaa1b940e8ce30c38a2a59bd59606bc2774fafc4,438,4,0.15933673,0.048540704,-0.16023208
O23400,9f7a3e711799f4f91397c5ff0764815b68b397d159839f595f1bc1ff52dab5ac,484,4,0.12505765,0.0250741,-0.14606275
O23406,f98c9b462f82ea442df2f1b80608c4e7a6a39dbcd65627f2d506fc6e32a147b5,474,4,0.06019366,-0.030718608,-0.16077863
O25175,12c58902df08fff96f14ed69e244a9e30619984aa115d24b498805c8a05fb7d6,389,4,0.019734273,-0.039095227,-0.24909177
O52785,a05118a832863a3382dba6c9b69681deddd756313bb7822fc44ae83ada40296f,439,2,-0.11077635,0.05195854,-0.21808968
O54517,6d038a69b282b36493b6c44a15b50af565c7f218cdfff228a60d280be4e1628a,430,2,-0.10838477,0.07624828,-0.20579804
O58762,b56cd5fa27e9ce7ce979b00dea0cb77d4a177e90514715f0abd2c1b5c3ffc4c4,415,2,-0.16052479,-0.083754346,-0.1497389
O82383,0c212e07a860b57d004c75a16f14ac82220ca33c686187ef2f5c6610102fd240,467,4,0.1279515,0.00026536107,-0.18307443
P21686,cfec965d2b7ca9be8c93d6776fa5ec2f14b23b15086a2134273e6f9cb3614088,431,2,-0.14393832,0.15282816,-0.10662815
Q01330,e3410b85e6913615d8b48a006efa8618a427fd08ab9313cab6ecb9aaf11f101b,413,2,-0.114633694,0.24963813,-0.079427324
Q0J0B6,734e6a9de97946c093a09a55ffae385ed128439f030c07f2ecdd1647dce9eb78,469,6,-0.1428673,0.18297578,0.0077225985
Q1ARU5,0c6c3a27fcf47f07536e57ea76062f26f8aec2fd3a96c05306e279378be4b8ca,416,2,-0.18224694,0.12569961,-0.052946713
Q1CSN2,56001015e57bc2e1716e3686573d90d73910001e3b9d8d7ac4737df97c078481,389,4,0.025131427,-0.029267648,-0.2454925
Q26732,98d24787558228ef2a4fe8fec6003d04b3b708b3357c98ef54f012295cde688f,267,4,0.1421259,0.10904477,-0.15822963
Q2P9Y9,b80becda75b55481aed73e67379897f7b029a375105d6280571d0d95232802a4,420,6,-0.14763504,0.3004931,0.048884347
Q31LX1,aee1c94e881da54aa08163279a87fa23f39f4824a63ae658aace5cee3f0c70f0,359,2,-0.24842359,0.18161005,-0.043996423
Q3HTL6,75c7b6a52357496fb8b94bd0c46433bcdc5ab016c9ae470e47a39b197dbc6bcc,415,6,-0.19958413,0.25947034,0.04335939
Q53685,ffb5f3179964e10e1c1e3c8b10ea850e507e0469fbd7a95ef7a219af1c52cf16,430,6,-0.169105,0.2728486,0.05335806
Q5LFK5,72a16a84ed238f9b9842d1bc2131f2cac192a0c680614359177fb5be5c9e3981,268,4,-0.024357196,-0.04816991,-0.31138834
Q5QPK2,8d9254902b4e50be99fd9a0ebc487f24bf28025bf4f66bf193be8d531b26f6f0,287,5,-0.25197226,-0.17172657,-0.076428
Q60FE8,3e8a8ea4bfd55102e6cf8626d126bbd21d322678797d860071a65dc4be5aeb75,446,4,0.010154705,0.013271099,-0.15391098
Q60FE9,f42f8421696bbed44f09e3b266ade08dfb074986a9a5b874ed83a4fcc87af450,475,4,-0.074231334,-0.06690831,-0.12604117
Q66PF4,13207e67076871a07501d3c038f7c5722593b595d8bc75cb16c196108a2f6ba9,555,4,0.1417494,0.010038675,-0.11992516
Q6QDB6,61999c8ff82534e1436b93a93c7ef6ec9a1029d98b22b767f9542cf1b65a3d17,480,0,-0.1583058,-0.074221894,-0.093407586
Q6VAB0,f858ed379637c2d9f9984df1969967177688a7b02f08e5c117154923d315349c,481,4,0.06696367,-0.11003329,-0.1810764
Q76MR7,d24e1a974d2a980e43897e456b3735bec5bb659327cf22ad9340edd9a0d176f4,441,4,0.12571903,0.06967337,-0.12403061
Q7AUZ4,b4037910853798fa9256c6f8676823d4537d9853ec09836e3498d35b8dbb7d6a,425,2,-0.27398717,0.11268273,-0.13727625
Q7LYW5,e261f14da8d2ecf5873ead94880eccfa82529f618a118a92471d9dc283fe34e9,412,2,-0.1646375,-0.10678157,-0.16270435
Q7XT97,a264cc7f9bfc453c581f1f2c97d905e9f5551af07ea6ed3874aa44a30bce9d06,466,4,-0.04029412,0.20367128,-0.018594295
Q81ST7,23678e1af8888fb7456051f946a6705a1fbac27f8d2de637ecf807d5b9db0abe,381,2,-0.32105854,-0.116735056,-0.19663511
Q8GZ65,60647c49b816e49b3ffc37a617e6bdbb54fda29aaed458ec96e4e9c76b9b64ab,452,4,0.088117614,-0.016253956,-0.18780431
Q8H0V7,a3b2685101f2ac2c28e6734d150ac7a115641e0a42016ac22681dd282fb29e0f,490,4,0.13156451,0.026576992,-0.14546117
Q8IYS9,285b447fe373cde95fcad92bc9b99bfa15f29c9436d8fbd06ff6755e8d838098,252,1,0.42171952,0.01946275,-0.100710824
Q8LEG2,390b18bda9d2b318e4070ee269ef26d160571ed90db4badd36f378205eb2a7f0,472,4,0.102699116,0.063580155,-0.12836878
Q8LFF5,f0d47d4c82b292e292212dde9252edba1424360d32e010c1924dc5a5b3ea18e1,451,4,0.02891435,-0.05679419,-0.19209974
Q8RWA6,dbbcc858ebf4e855ee526f1d90355bae6a93f431a5f56bad2faddb05eb8dd26f,267,4,0.011219411,0.053150658,-0.11962166
Q8RWP1,491c3f0d18f769c29ac4db6599ddf3339f5f2a451f825f0eefaaa557e6183af8,448,4,-0.1069081,-0.0014646162,-0.06590511
Q8RXA5,8de03c979a8669e6773845305a2c5acfeeaaa7361c1183f918d7cd713d0a2630,463,4,-0.024399072,0.21633884,0.00829165
Q8W2B6,461ccb33aa78abb883cccd723b9a821de79c17e1f9370e045b627b553e9e4c45,464,4,0.06753163,0.21867205,-0.028950907
Q8W2B7,5ba288dd17cabe249376d78f8481a9293dbe9c06f8af4f7a16cf86a3ba94debc,459,6,-0.015898548,0.27865595,0.025606658
Q8W491,f8544edaac8cd77229d6d1b6d8b0ad2aa46c20bb1037b8f9484afa47be6c7666,481,4,-0.047925714,-0.12895437,-0.16783175
Q93EY3,0873360102324fefaf5f7fe255b67ce4f70917296422bc7571c17945dda81ec7,359,2,-0.24421819,0.18424343,-0.04374945
Q93P60,5c6ba7758336704cda1257e194c242b7ce2bebdb2c656bbf1fe51bbf93fce071,398,4,0.10713457,-0.028083898,-0.2788149
Q93Z19,3cb4f3db03edb9eb971fcee0602e56842eb4719be15023e77fe163b8ee8a0d3b,418,4,0.079334386,-0.045584265,-0.16521056
Q94BM9,ebe217d671c9f51b9e8d0231541a039d43fc821f0e356ca555804f2990920dab,462,4,0.10853284,0.08410438,-0.10840225
Q94BU0,a32ea46eb1d5cb06f921481b967af0a099714d31ff59c463d6e923812a9a8339,309,4,-0.13212757,-0.1337098,-0.11647796
Q96DM6,140f57c37d4cc05e0150c6d0e13fafb9e570d3cb54a6e20025646ae27cea63bf,523,4,0.18282627,0.04118632,-0.09086231
Q96HK0,ad7e755010a8e1402db0f2b17430ee625386dab0f34e02bedbe49fa6b9889684,260,5,-0.40513325,-0.1986669,-0.12599587
Q9AET5,198a936b131c51effd236bf9f7fcfa626cb5d134a1be66e1c5b6a8206f50f5a8,506,2,-0.20639607,-0.005769451,-0.07857881
Q9AT54,73cdd613a539725a2394c8655050aa9b146bcf224c66f4c22d374d0cabec0df2,476,0,-0.15535791,-0.14427398,-0.13779145
Q9HC03,27106cac3da5610ece5ef3dbbadc1edbcdcbf3690378f764ff08691e384b36cd,324,0,-0.29621133,-0.13378197,-0.026468066
Q9LNI1,afc62aaa9229d24f9b4c9df590411a3e3bce023b51db7493b54bed2b981afcc9,481,4,-0.08702678,-0.034802873,-0.13458773
Q9LSY4,bf20076541f1a6a7e1bb0219a6a7c2026617a860190086b66f83d0ebf409eb63,480,4,0.049455248,0.008117483,-0.14070772
Q9LSY6,975b745e6c87433c965c2ef323268d96df2fabbc608a2bf5993794d00c2c51c1,479,4,0.061205048,-0.026935846,-0.16371576
Q9LSY9,f3d724b45deb85c3a7874d5ed6c196c5000a5ce0cb20ff1e0abfb830cd860b5e,473,4,0.010886206,-0.005443862,-0.13231175
Q9LTH3,e1b2d2c8122aa3297da2cddd7f7386a1ae28ea1a407c2cdafdc171cc12bc8d80,453,4,0.03989986,-0.0277814,-0.17681001
Q9M6E7,ec684eda01904ef62601e7c6cec8a878f6ddaf7d101f74cd6c2bffe5ae4c3b2d,459,4,-0.081901476,-0.13098463,-0.17963797
Q9R9C8,808c4aa2a383e5deb68c596e9c9ac4c8ed90ec7b47513ff7d55006ee763ba237,421,2,-0.28124118,0.11321927,-0.13730653
Q9R9D7,ec16fbebbcb008c337ac8f9bfa6b90a5b94346edb02d86617d95583f58237939,422,2,-0.2821793,0.114880875,-0.13772888
Q9RV05,e70c3d6f5e747013cf547243ff9b9653f403d2db27701bba1c582e9f66058164,402,6,-0.022266569,0.37765053,-0.007599799
Q9SBQ8,ef6f985ae586e35ead94de214cadfc15ed1f2b5a50be617d1a821fd9f01580db,451,4,-0.100845136,-0.09494372,-0.1635836
Q9SCP5,8a1adb8e991ae56c23dcde87ddfb52fead45078da2447a1f4cf9445e6dbc8e68,490,4,-0.043697644,-0.08718218,-0.14425397
Q9SK82,162a639c58564245bd0f0da5687d7c43aa4bcdc75570f7b6474493752636e0a8,489,0,-0.1677771,-0.13397266,-0.1181083
Q9SMG6,6bc3a8da1777d6f0f74a71b48e910f8b1a35bccafc577677c37203be80cb7578,489,4,-0.08988807,-0.09905317,-0.11591216
Q9SNB2,54825e718d4315d17f62ce222b251c6cd520e07dabba4ac52fe160468faa20ce,453,4,0.031857412,-0.07329845,-0.20361108
Q9STE3,c8828f8c6edeb377d04105a5a77b10b31da8fc2b367e317532b7cd8ed0257fcb,452,4,0.0892354,-0.0137940785,-0.18712375
Q9STE6,1bb0dd64cef77ded51aad2f1bb41026f890d61ca12180a44d0c87a4ebb38acbc,447,4,0.057969447,-0.022916798,-0.18734841
Q9T1D6,45c860883b603d502041be2f8b46368b4f31bba4eea35dd3484f3fe6d42e16c2,305,2,-0.3479941,-0.07779924,-0.262187
Q9W711,6bed3caffdab6b0d67076dcea927f905e58281f1ab83cb291add84ede737f47f,530,3,0.011451184,-0.06751265,-0.015947022
Q9XC98,1f5c1dd54acaabdf17dd0ba012acf3745d267cb5298a37771aecef05d12eb16e,302,4,-0.053661387,0.0550663,-0.08898699
Q9XEJ7,843b0d48ea5370340d3d5c87292db8f6fd0d2d2830a591d83a482d8378ec0b65,341,0,-0.124218546,-0.20577258,0.056321103
Q9ZKH3,7acefcf200a765047aa801fa4b649d1c0c8ad275ec55bd727056673f44b76802,389,4,0.015712127,-0.040665265,-0.24531718
Q9ZQG3,76569b7f0ff4017f328b25134a1a035af64100f3412097aa5044dc65f101816c,460,4,-0.004064914,-0.109253295,-0.15301952
Q9ZQG4,c7ac3a4089b46df20c2b283b30445406f67700be8234e81f03ffca1b893724f9,484,4,-0.029915355,-0.1110676,-0.16038702
U3UA11,7be25fc90661b9ed66472523bb68a059b9677aa432e53e5d95c1a52520bd6aea,454,4,0.031705577,-0.056944605,-0.18631941
U5NH37,7a3a355875c188514e07a2b3badf7654c9dcee8ea7a469086c7cdc6833478452,482,4,-0.13695908,-0.09966178,-0.13387205
W5Z0F2,db19caed9651265d80fe4ad18236b83388713f22458c04c9936e7df6d21f9467,494,4,0.09947835,0.15551934,-0.13247234
W8PUU0,d566cd1ba52298bd1e33b710909179b8239ca11f7d15858e5bad18cdbfc03093,446,4,-0.007187721,-0.06353634,-0.17664142
W8PV55,5360b987a6ffdcee175a1e602f27415d9937996740374b9e25bd1264a23d4458,473,4,-0.09377088,-0.0052421973,-0.07668533
A0A087V584,c8536850de20538a65aa35107cfa44718b237b8f908515efce8c6dc89c45d037,552,1,0.31090534,0.025025805,-0.17980401
A0A091GHW9,25db6f58835cfeacebe73b44a94cbcb465437d6442c9d2117a929d63ae0bd06d,552,1,0.31393728,0.029568376,-0.17699106
A0A091MHB6,fd9e386358674cd1f4744db13708dd4b3e8f0cbef0224ef124dd4a94b237a913,552,1,0.31133315,0.033786185,-0.17296185
A0A091MN05,075f3c69f80dc6e67e4d2d60782f6ea29bfc39e7e88b0e3afff73f6f7330d585,552,1,0.31238228,0.024295826,-0.18155956
A0A091N2T0,1f832ca3c5e3d0645fb137fcb57ae47a280ff98cdd04568ca20d3c9c4db436b8,552,1,0.3151254,0.024576083,-0.18230543
A0A091QTI3,d68f33b2d1a7d082b0a6faf246d9d97ebf650e4288c2a4dd8e328329e1baf7a7,552,1,0.31401616,0.025470464,-0.18179594
A0A091R4L3,86de9b6de3f17f080de0112141af3958bf0d88b06ea4d0b76318e45388233573,552,1,0.31113985,0.02920102,-0.17624111
A0A091SKD6,8e892597b24f8c65826d04308b71b133705161184c40f009409f758bf25f2d63,552,1,0.31172606,0.027809374,-0.17577498
A0A091VK91,7e7063d4f006e30a3689ccc30053d22cef58e3541968e19e681f0843555adb03,552,1,0.31206104,0.025006877,-0.18188667
A0A093CIK1,5fb2fb5216ee8b1626866cd8274cb5eca9c9f28dcdcf02a3e4cea622a2b9bde7,552,1,0.31499377,0.02657928,-0.18009692
A0A093DKL6,47f582a215d857a286b9f516f1a05a30dad3d784ab1ec9a8c0efa0c0f340b4d9,552,1,0.3147403,0.025482971,-0.18135849
A0A093H4D7,dd58b047a2cf7f38b71c96ded5f50cb682904340603894c3bf2dfd3bb7021b8d,552,1,0.3142973,0.030459756,-0.17750792
A0A093R3C6,51c8ea8fb3df0052cb52c36db98cf4a7a9a4c603721c3cdb53d9c66663a0c250,552,1,0.30971837,0.020579983,-0.18297467
A0A094KNE1,b18d1a6a0a8975de68dfe5c0803e9a109d08f4b8c5f9efa7269ee6f5ffd97da5,551,1,0.3088752,0.019353442,-0.18116717
A0A096N4A0,5ec8d5ffd5f4a1e04770d76c9e3b133ee2d05c18f9fd97a986589fa0c91c6acd,268,1,0.48284304,0.08276126,-0.18639065
A0A099YYJ9,5a4f16b6ce6b413b06d3df17244fba6640b2f90b7bb18be8ad8e9c4912fc678b,552,1,0.31521487,0.026475105,-0.18224584
A0A0C5FZB3,2b27fba6ade559cea90159eee82b3ccf4ebe3312282c1ea38a525fdc18dc3380,446,1,0.12350002,0.35233426,-0.040355384
A0A0F7FYW4,fd99f2ccb3f694aeaa8ceb68a01458d2a43375b501992e5a529e521829713c8b,479,1,0.13456199,0.403183,0.009712603
A0A0H3C107,1f7685eb1b1a17f3e6864e8e0dc1ed0658458ff27e54fe47e160521392e8d472,445,1,0.2268671,0.03787991,-0.2424387
